iter	Logloss
0	0.6860070855
1	0.6787876176
2	0.6724458642
3	0.6661368843
4	0.6606744699
5	0.655671084
6	0.6496749338
7	0.6451703545
8	0.6401825667
9	0.635599807
10	0.6306648253
11	0.6262148813
12	0.621871904
13	0.6179674856
14	0.6137276593
15	0.6094329324
16	0.6051517169
17	0.6019477804
18	0.5983182947
19	0.5953211764
20	0.5918659278
21	0.5886454391
22	0.5854680914
23	0.5820514454
24	0.5793591254
25	0.5767158481
26	0.5734992038
27	0.5711790961
28	0.5686084193
29	0.5657921595
30	0.5630643448
31	0.5607209272
32	0.5582529715
33	0.5560564611
34	0.5536814537
35	0.5512534411
36	0.5492242687
37	0.5476320382
38	0.5456173279
39	0.5436668512
40	0.5417378999
41	0.5393620843
42	0.5375794497
43	0.5356856685
44	0.5347124682
45	0.5328572641
46	0.5316572669
47	0.5299386828
48	0.5285062897
49	0.5270607774
50	0.5261328128
51	0.5246241759
52	0.5233498875
53	0.5225347943
54	0.5210786917
55	0.5199246853
56	0.5186530443
57	0.5173688479
58	0.5163148742
59	0.5151351998
60	0.5146330584
61	0.5137931469
62	0.5125850186
63	0.5113767824
64	0.510256199
65	0.508899646
66	0.5079746565
67	0.5068880295
68	0.5059391005
69	0.5052042346
70	0.5044430694
71	0.5037032464
72	0.5028078991
73	0.5016894386
74	0.5005681348
75	0.4996974766
76	0.498991044
77	0.4983899115
78	0.4976043062
79	0.4969126242
80	0.4960735602
81	0.4957271468
82	0.49498828
83	0.4940823148
84	0.492974383
85	0.4922574258
86	0.4914435651
87	0.4909020088
88	0.4903585489
89	0.4897563071
90	0.4890443554
91	0.48846361
92	0.4878751351
93	0.4871105649
94	0.4867297205
95	0.4861726821
96	0.4854975418
97	0.4852198807
98	0.4846310372
99	0.4840608366
100	0.4835983138
101	0.482967238
102	0.4824805893
103	0.481923713
104	0.4814225021
105	0.4809342633
106	0.4802411492
107	0.4796741635
108	0.4793800625
109	0.4789813799
110	0.478282707
111	0.4775863336
112	0.4772580532
113	0.4771090197
114	0.4767241341
115	0.4759592499
116	0.4756245052
117	0.475182151
118	0.4747600946
119	0.4743342277
120	0.4741022325
121	0.4735567421
122	0.4733290414
123	0.4728484034
124	0.4724177618
125	0.4718177432
126	0.4716042906
127	0.4711083644
128	0.4707169697
129	0.4702707213
130	0.4698153233
131	0.4693855854
132	0.4688914307
133	0.4685000648
134	0.4681018992
135	0.4675917824
136	0.4673826884
137	0.4671544525
138	0.4668258229
139	0.4665820817
140	0.4662803785
141	0.4656583368
142	0.4652150055
143	0.4648302235
144	0.4643979235
145	0.4639680479
146	0.4635847828
147	0.4631780826
148	0.4630309294
149	0.4628055701
150	0.4624902936
151	0.4621529977
152	0.4619921887
153	0.46154205
154	0.460988957
155	0.4606062006
156	0.4603307532
157	0.459951422
158	0.4593971864
159	0.4591181084
160	0.4588657491
161	0.4586212538
162	0.4583741462
163	0.4580554225
164	0.4578090282
165	0.457543165
166	0.4572513356
167	0.4570133237
168	0.4569282775
169	0.4567046496
170	0.4563494946
171	0.4560242433
172	0.4556110303
173	0.4553659793
174	0.4551150006
175	0.4547611051
176	0.4545482982
177	0.4543273685
178	0.4539278175
179	0.4536056582
180	0.453313214
181	0.4529146024
182	0.4527268831
183	0.4523860457
184	0.4520206483
185	0.4518666501
186	0.4515528302
187	0.4513302712
188	0.4510434686
189	0.4508588944
190	0.4506967224
191	0.4504425933
192	0.4501292324
193	0.4499948781
194	0.4498031816
195	0.4494723679
196	0.4491399865
197	0.4487839081
198	0.4484974519
199	0.4482909793
200	0.448122452
201	0.4477549559
202	0.4474939482
203	0.4473025355
204	0.4470497446
205	0.446822489
206	0.4467084802
207	0.4463711145
208	0.4460939451
209	0.4458116935
210	0.4454328271
211	0.445071934
212	0.4447441812
213	0.4445646637
214	0.444306779
215	0.4439397881
216	0.4437021659
217	0.4436923463
218	0.4434461446
219	0.4432350155
220	0.4429852318
221	0.4427235466
222	0.4425393715
223	0.4423674209
224	0.4421015108
225	0.4419888273
226	0.4415704811
227	0.4414102488
228	0.4412031813
229	0.4410033986
230	0.440867527
231	0.4406680053
232	0.4405221122
233	0.4402814118
234	0.4402436677
235	0.4399336371
236	0.4397406056
237	0.4396206233
238	0.4393641292
239	0.4390087854
240	0.4387403922
241	0.4385036071
242	0.4381914236
243	0.4380344619
244	0.4378142949
245	0.4377000853
246	0.437556039
247	0.4372736644
248	0.4370473401
249	0.4369545854
250	0.4366009586
251	0.4364201201
252	0.4362321018
253	0.4359483411
254	0.4358113604
255	0.435697706
256	0.4354564902
257	0.4352555558
258	0.4351474516
259	0.4348959567
260	0.4346890417
261	0.4345410392
262	0.4344785386
263	0.434283375
264	0.4341677688
265	0.433789461
266	0.4336672003
267	0.4334027609
268	0.4331594817
269	0.4329082034
270	0.4327709706
271	0.4327172166
272	0.4325486772
273	0.4325416371
274	0.4321685841
275	0.431923064
276	0.431630133
277	0.4313725562
278	0.431120924
279	0.4308686797
280	0.4306073502
281	0.4305629139
282	0.4304866166
283	0.4302657813
284	0.4300177853
285	0.4298135938
286	0.4296729757
287	0.4294267099
288	0.4292224313
289	0.4289915018
290	0.428878096
291	0.4285687418
292	0.4282679596
293	0.4279860713
294	0.427680356
295	0.4274893558
296	0.4273384555
297	0.4272172777
298	0.4270209846
299	0.4267653172
300	0.4266118989
301	0.4264109593
302	0.4262886772
303	0.4261311702
304	0.4260053113
305	0.4258557706
306	0.4257568396
307	0.4255218518
308	0.4252650875
309	0.4251178028
310	0.4248750963
311	0.4246218175
312	0.4245006903
313	0.4243238595
314	0.4240859697
315	0.4238932286
316	0.4238535641
317	0.4236821477
318	0.4235161173
319	0.4234141766
320	0.4232295029
321	0.423022725
322	0.422745936
323	0.4225929377
324	0.4224967939
325	0.4223437306
326	0.4221746442
327	0.422063618
328	0.4219066981
329	0.4218031236
330	0.4215948449
331	0.4214304567
332	0.4212735524
333	0.4212599173
334	0.4210316177
335	0.4208736454
336	0.4208389598
337	0.4206773426
338	0.4204276955
339	0.4203019208
340	0.4200608129
341	0.4200429574
342	0.4199642401
343	0.4199195734
344	0.4198417015
345	0.4197872924
346	0.4197739479
347	0.4196860325
348	0.4194543172
349	0.4193009969
350	0.4190071888
351	0.4189159158
352	0.4187261688
353	0.4185822409
354	0.4185140425
355	0.418378776
356	0.418366264
357	0.4181193624
358	0.4179735334
359	0.417959352
360	0.4178235854
361	0.4178073845
362	0.4177933727
363	0.4175565707
364	0.417449261
365	0.4173064534
366	0.4171513429
367	0.4170163576
368	0.416858305
369	0.4166346078
370	0.4165030859
371	0.4163030898
372	0.4162646867
373	0.416201298
374	0.416025214
375	0.4158320534
376	0.4156480144
377	0.4153973351
378	0.4152507631
379	0.4149268098
380	0.4147112745
381	0.4145418688
382	0.4144862018
383	0.4144215718
384	0.4144079778
385	0.4143922645
386	0.4142126066
387	0.4139055192
388	0.4138060919
389	0.4136521052
390	0.4134522418
391	0.4134362716
392	0.4133627057
393	0.4133332355
394	0.4132114092
395	0.4131195375
396	0.4130847472
397	0.412808315
398	0.4127956647
399	0.4127911231
400	0.4127746559
401	0.4127600869
402	0.412464317
403	0.4124574816
404	0.412142397
405	0.4121311947
406	0.4121237835
407	0.4118813488
408	0.4117254918
409	0.4117099728
410	0.4116952452
411	0.4114533867
412	0.4114032342
413	0.4113825982
414	0.4111562002
415	0.4109554734
416	0.4108158581
417	0.4107144432
418	0.4106928689
419	0.4104531949
420	0.410437594
421	0.4102607606
422	0.4101947162
423	0.4101815883
424	0.4101179233
425	0.4101080943
426	0.4098732056
427	0.4097662484
428	0.4097149683
429	0.4096806512
430	0.4094624755
431	0.4092575227
432	0.408947132
433	0.4088956876
434	0.4085229449
435	0.4082951174
436	0.4080045882
437	0.4079848193
438	0.4079044619
439	0.4078344331
440	0.4077625817
441	0.4077419236
442	0.4077162537
443	0.4074637021
444	0.4074472444
445	0.4073722587
446	0.4071991407
447	0.4071818351
448	0.4071481592
449	0.4071244013
450	0.407092615
451	0.4070634406
452	0.4068535512
453	0.4068312363
454	0.4068157336
455	0.4067895787
456	0.4066646072
457	0.4066528417
458	0.4066363646
459	0.4064946163
460	0.4063311273
461	0.4063167663
462	0.40628706
463	0.4062601841
464	0.4061456774
465	0.4061314537
466	0.4060367984
467	0.4060211163
468	0.4059976034
469	0.4059892804
470	0.4057219871
471	0.4054272192
472	0.4054125376
473	0.405216538
474	0.4051088891
475	0.4051014268
476	0.4050675081
477	0.4050401206
478	0.4050161235
479	0.4049151273
480	0.4049040416
481	0.4048976813
482	0.4047575565
483	0.4047448909
484	0.4044901776
485	0.404441392
486	0.4042686697
487	0.4042619747
