iter	Passed	Remaining
0	3	7791
1	7	7449
2	10	7266
3	14	7197
4	17	7092
5	21	7058
6	24	7021
7	28	7010
8	31	6987
9	34	6959
10	38	6904
11	41	6848
12	44	6809
13	47	6770
14	51	6767
15	54	6742
16	57	6718
17	60	6694
18	64	6679
19	67	6667
20	70	6654
21	73	6643
22	77	6632
23	80	6626
24	83	6616
25	87	6608
26	90	6598
27	93	6592
28	96	6586
29	100	6578
30	103	6572
31	106	6566
32	110	6557
33	113	6546
34	116	6538
35	119	6532
36	122	6525
37	126	6513
38	129	6498
39	132	6488
40	135	6475
41	138	6462
42	141	6452
43	145	6485
44	149	6496
45	153	6507
46	156	6497
47	160	6506
48	163	6494
49	166	6477
50	169	6469
51	172	6462
52	175	6463
53	178	6448
54	182	6436
55	185	6429
56	188	6425
57	191	6414
58	195	6418
59	198	6412
60	201	6404
61	204	6394
62	207	6386
63	210	6377
64	214	6371
65	217	6365
66	220	6360
67	223	6351
68	226	6343
69	229	6336
70	232	6328
71	236	6319
72	239	6311
73	242	6301
74	245	6294
75	248	6288
76	251	6282
77	254	6272
78	257	6266
79	260	6259
80	263	6249
81	266	6244
82	270	6236
83	273	6229
84	276	6222
85	279	6218
86	282	6213
87	285	6213
88	289	6212
89	292	6204
90	295	6199
91	298	6195
92	302	6192
93	305	6187
94	308	6180
95	311	6176
96	314	6174
97	318	6171
98	321	6164
99	324	6159
100	327	6155
101	330	6153
102	333	6145
103	336	6139
104	339	6135
105	343	6141
